fakeid,fakeid0,female0,famid0,year0,age0,eduyrs0,famsize0,kfamincly0,tlabincly0,klabincly0,knlabincly0,wage_inc0,hrs_house0,hrs_workly0,race0,college0,employdB0,fulltimely0,lowincly0,fakeid1,female1,famid1,year1,age1,eduyrs1,famsize1,kfamincly1,tlabincly1,klabincly1,knlabincly1,wage_inc1,hrs_house1,hrs_workly1,race1,college1,employdB1,fulltimely1,lowincly1
70,70,Male,18,2017,35,14,2,60.549919,60.549919,25.877001,0,12.440866,1,40,White,Yes,1,Full-time (1750+ hours),0,70,Female,18,2017,33,14,2,60.549919,60.549919,34.67292,0,15.854101,6,42.057693,White,Yes,1,Full-time (1750+ hours),0
74,74,Male,19,2021,44,16,3,318.47339,318.14996,220.49998,6.219717,88.911285,6,47.692307,White,Yes,1,Full-time (1750+ hours),0,74,Female,19,2021,41,16,3,318.47339,318.14996,97.649994,6.219717,39.375,10,47.692307,White,Yes,1,Full-time (1750+ hours),0
83,83,Male,21,2021,32,16,2,279.82498,279.29999,160.64999,10.096037,64.259995,6,48.076923,White,Yes,1,Full-time (1750+ hours),0,83,Female,21,2021,31,16,2,279.82498,279.29999,118.64999,10.096037,52.73333,9,43.26923,White,Yes,1,Full-time (1750+ hours),0
86,86,Male,22,2023,31,14,4,119.784,119.60001,55.200001,3.5384252,27.6,7,38.46154,White,Yes,1,Full-time (1750+ hours),0,86,Female,22,2023,32,16,4,119.784,119.60001,64.400002,3.5384252,34.255322,10,36.153847,White,Yes,1,Full-time (1750+ hours),0
96,96,Male,24,2023,66,15,2,105.4596,102.0096,71.391998,66.346245,37.417191,6,36.692307,Black,Yes,1,Full-time (1750+ hours),0,96,Female,24,2023,53,14,2,105.4596,102.0096,30.617601,66.346245,22.512941,8,26.153847,Black,No,0,Part-time (50-1749 hours),0
100,100,Male,25,2023,45,16,5,195.12924,146.64799,86.571999,932.33167,42.921169,4,38.78846,White,Yes,1,Full-time (1750+ hours),0,100,Female,25,2023,34,16,5,195.12924,146.64799,60.076,932.33167,48.409348,5,23.865385,Other,Unknown,1,Part-time (50-1749 hours),0
106,106,Male,27,2023,47,17,4,201.48001,187.67999,72.68,265.38498,34.942307,4,40,White,Yes,1,Full-time (1750+ hours),0,106,Female,27,2023,42,16,4,201.48001,187.67999,115,265.38498,55.288464,8,40,White,Yes,1,Full-time (1750+ hours),0
120,120,Male,30,2021,57,17,2,253.10249,251.99998,122.84999,21.202087,54.382469,8,43.442307,Other,Unknown,1,Full-time (1750+ hours),0,120,Female,30,2021,53,17,2,253.10249,251.99998,129.14999,21.202087,57.17131,10,43.442307,Other,Yes,1,Full-time (1750+ hours),0
125,125,Male,32,2021,41,12,2,61.949997,61.949997,29.399998,0,14.699999,2,38.46154,White,No,1,Full-time (1750+ hours),0,125,Female,32,2021,35,17,2,61.949997,61.949997,32.549999,0,19.871794,6,31.5,White,No,1,Part-time (50-1749 hours),0
126,126,Male,32,2017,55,14,2,62.150002,62.150002,29.379999,0,13.997142,8,40.365383,White,Yes,1,Full-time (1750+ hours),0,126,Female,32,2017,47,13,2,62.150002,62.150002,32.77,0,25.701962,5,24.51923,White,No,1,Part-time (50-1749 hours),0
128,128,Male,32,2023,56,12,2,128.8,128.8,55.200001,0,27.380953,12,38.76923,Black,No,1,Full-time (1750+ hours),0,128,Female,32,2023,53,16,2,128.8,128.8,73.599998,0,24.338625,12,58.153847,Black,Yes,1,Full-time (1750+ hours),0
160,160,Male,40,2023,43,16,2,138.092,138,92,1.7691392,38.493725,6,45.96154,White,Unknown,1,Full-time (1750+ hours),0,160,Female,40,2023,41,17,2,138.092,138,46,1.7691392,22.549021,20,39.23077,White,Unknown,1,Full-time (1750+ hours),0
177,177,Male,45,2019,26,14,4,76.68,76.68,64.800003,0,28.800001,8,43.26923,White,Yes,1,Full-time (1750+ hours),0,177,Female,45,2019,27,16,4,76.68,76.68,11.88,0,9.2093029,20,24.807692,White,Yes,1,Part-time (50-1749 hours),0
183,183,Male,46,2021,44,17,4,108.56999,108.14999,67.199997,8.0768881,37.354084,12,34.596153,White,Yes,1,Full-time (1750+ hours),0,183,Female,46,2021,42,13,4,108.56999,108.14999,40.949997,8.0768881,25.277777,20,31.153847,White,No,1,Part-time (50-1749 hours),0
192,192,Male,48,2021,46,17,4,161.7,149.09999,104.99999,242.30782,44.025154,20,45.865383,Other,Yes,1,Full-time (1750+ hours),0,192,Female,48,2021,44,16,4,161.7,149.09999,44.099998,242.30782,18.846153,20,45,Other,Yes,1,Full-time (1750+ hours),0
229,229,Male,58,2019,27,12,4,59.400002,59.400002,34.560001,0,12.17759,5,54.576923,White,No,1,Full-time (1750+ hours),0,229,Female,58,2019,22,11,4,59.400002,59.400002,24.84,0,15.045427,15,31.75,White,No,1,Part-time (50-1749 hours),0
234,234,Male,59,2021,38,12,4,136.185,115.49999,62.999996,397.78857,45.652172,1,26.538462,White,No,1,Part-time (50-1749 hours),0,234,Female,59,2021,38,15,4,136.185,115.49999,52.499996,397.78857,82.03125,10,12.307693,White,No,1,Part-time (50-1749 hours),0
237,237,Male,60,2023,36,17,4,246.10001,244.72,88.32,26.538555,44.16,16,38.46154,Other,Yes,1,Full-time (1750+ hours),0,237,Female,60,2023,29,17,4,246.10001,244.72,156.40001,26.538555,78.200005,8,38.46154,Black,Yes,1,Full-time (1750+ hours),0
255,255,Male,64,2023,31,17,2,212.43536,211.60001,138,16.064571,66.346153,5,40,Other,Yes,1,Full-time (1750+ hours),0,255,Female,64,2023,26,17,2,212.43536,211.60001,73.599998,16.064571,37.551022,8,37.692307,Other,No,1,Full-time (1750+ hours),0
262,262,Male,66,2019,44,17,2,206.38802,190.08002,97.200005,313.61536,48.600002,10,38.46154,Other,Yes,1,Full-time (1750+ hours),0,262,Female,66,2019,39,17,2,206.38802,190.08002,92.880005,313.61536,34.463821,20,51.826923,White,Yes,1,Full-time (1750+ hours),0
271,271,Male,68,2021,31,16,2,86.099998,86.099998,44.099998,0,18.560606,8,45.692307,White,Yes,1,Full-time (1750+ hours),0,271,Female,68,2021,35,17,2,86.099998,86.099998,42,0,33.333332,12,24.23077,White,Yes,1,Part-time (50-1749 hours),0
278,278,Male,70,2017,48,15,5,248.60001,200.00999,92.659996,934.42328,29.784636,10,59.826923,White,No,1,Full-time (1750+ hours),0,278,Female,70,2017,47,16,5,248.60001,200.00999,107.35,934.42328,53.674999,21,38.46154,White,Yes,0,Full-time (1750+ hours),0
290,290,Male,73,2017,54,12,3,148.04808,131.08,85.879997,326.3092,41.528046,3,39.76923,White,No,1,Full-time (1750+ hours),0,290,Female,73,2017,54,13,3,148.04808,131.08,45.200001,326.3092,25.307951,10,34.346153,White,No,1,Full-time (1750+ hours),0
293,293,Male,74,2021,28,16,3,73.216499,64.2285,36.75,172.84613,18.175074,4,38.884617,White,Yes,1,Full-time (1750+ hours),0,293,Female,74,2021,26,16,3,73.216499,64.2285,27.478498,172.84613,15.333983,4,34.46154,White,Yes,1,Full-time (1750+ hours),0
302,302,Male,76,2021,53,15,2,164.02574,156.44998,18.9,145.68768,53.999996,28,6.7307692,White,No,0,Part-time (50-1749 hours),0,302,Female,76,2021,60,16,2,164.02574,156.44998,137.54999,145.68768,72.128998,20,36.673077,White,Yes,1,Full-time (1750+ hours),0
310,310,Male,78,2017,34,15,3,158.2,155.94,102.83,43.461433,41.63158,15,47.5,White,No,1,Full-time (1750+ hours),0,310,Female,78,2017,32,16,3,158.2,155.94,53.110001,43.461433,25.533653,10,40,White,Yes,1,Full-time (1750+ hours),0
314,314,Male,79,2017,60,12,3,205.66678,205.66,141.25,.13028659,80.255684,12,33.846153,White,No,1,Full-time (1750+ hours),0,314,Female,79,2017,59,12,3,205.66678,205.66,64.409996,.13028659,35.005436,18,35.384617,White,No,1,Full-time (1750+ hours),0
315,315,Male,79,2023,48,12,3,97.740799,97.740799,50.636803,0,22.995823,4,42.346153,White,No,1,Full-time (1750+ hours),0,315,Female,79,2023,46,16,3,97.740799,97.740799,47.104,0,23,15,39.384617,White,No,1,Full-time (1750+ hours),0
316,316,Male,79,2019,61,15,3,77.748123,66.954605,59.400002,207.56766,19.2607,5,59.307693,Black,Yes,1,Full-time (1750+ hours),0,316,Female,79,2019,49,12,3,77.748123,66.954605,7.5546002,207.56766,13.115625,28,11.076923,Black,Unknown,1,Part-time (50-1749 hours),0
317,317,Male,80,2017,49,12,2,133.453,133.34,93.790001,2.1732037,44.661903,3,40.384617,White,No,1,Full-time (1750+ hours),0,317,Female,80,2017,51,16,2,133.453,133.34,39.549999,2.1732037,15.883534,3,47.884617,White,Yes,1,Full-time (1750+ hours),0
319,319,Male,80,2023,34,16,2,331.384,331.20001,147.2,3.5382783,75.102043,5,37.692307,White,Yes,1,Full-time (1750+ hours),0,319,Female,80,2023,35,16,2,331.384,331.20001,184,3.5382783,76.666672,10,46.153847,White,Yes,1,Full-time (1750+ hours),0
322,322,Male,81,2023,37,14,3,147.2,147.20001,69,-.00029343826,35.493828,7,37.384617,White,Yes,1,Full-time (1750+ hours),0,322,Female,81,2023,34,17,3,147.2,147.20001,78.200005,-.00029343826,39.100002,10,38.46154,White,Yes,1,Full-time (1750+ hours),0
323,323,Male,81,2021,53,12,2,48.932098,48.929996,40.739998,.040421121,20.369999,10,38.46154,White,Unknown,1,Full-time (1750+ hours),0,323,Female,81,2021,55,16,2,48.932098,48.929996,8.1899996,.040421121,10.5,20,15,White,Yes,1,Part-time (50-1749 hours),0
328,328,Male,82,2023,43,13,2,60.922401,60.922401,36.524002,0,23,1,30.538462,Black,No,1,Part-time (50-1749 hours),0,328,Female,82,2023,42,12,2,60.922401,60.922401,24.398401,0,15.64,1,30,Black,Unknown,1,Part-time (50-1749 hours),0
331,331,Male,83,2023,38,16,3,128.8,128.8,53.360001,0,31.462265,1,32.615383,White,Yes,1,Part-time (50-1749 hours),0,331,Female,83,2023,30,16,3,128.8,128.8,75.440002,0,44.168617,2,32.846153,White,Yes,1,Part-time (50-1749 hours),0
335,335,Male,84,2021,46,17,4,88.042496,88.042496,87.674995,0,33.721153,2,50,Other,Unknown,1,Full-time (1750+ hours),0,335,Female,84,2021,43,17,4,88.042496,88.042496,.36749998,0,7.2058821,35,.98076922,Other,Unknown,1,Part-time (50-1749 hours),0
338,338,Male,85,2021,33,16,4,80.849998,77.699997,70.349998,60.576954,42.277641,10,32,White,Yes,1,Part-time (50-1749 hours),0,338,Female,85,2021,32,16,4,80.849998,77.699997,7.3499994,60.576954,12.849649,30,11,White,Yes,1,Part-time (50-1749 hours),0
340,340,Male,85,2017,38,16,2,136.16499,96.614998,37.855,760.57684,20.618191,14,35.307693,White,No,1,Full-time (1750+ hours),0,340,Female,85,2017,38,17,2,136.16499,96.614998,58.759998,760.57684,26.115555,15,43.26923,White,Yes,1,Full-time (1750+ hours),0
346,346,Male,87,2019,36,12,3,166.33081,133.92001,65.880005,623.28455,28.705883,7,44.134617,White,No,1,Full-time (1750+ hours),0,346,Female,87,2019,34,17,3,166.33081,133.92001,68.040001,623.28455,14.82353,5,88.269234,White,Yes,1,Full-time (1750+ hours),0
350,350,Male,88,2021,46,14,4,108.93749,108.67499,47.249996,5.0481648,15.624999,2,58.153847,Black,Yes,1,Full-time (1750+ hours),0,350,Female,88,2021,48,14,4,108.93749,108.67499,61.424995,5.0481648,25.593748,2,46.153847,Black,No,1,Full-time (1750+ hours),0
356,356,Male,89,2017,30,12,2,66.669998,66.669998,30.51,0,16.763737,15,35,Black,No,0,Full-time (1750+ hours),0,356,Female,89,2017,24,13,2,66.669998,66.669998,36.16,0,17.936508,30,38.76923,Black,No,1,Full-time (1750+ hours),0
358,358,Male,90,2023,39,16,2,427.34,414,257.60001,256.53839,116.8254,8,42.403847,White,Yes,1,Full-time (1750+ hours),0,358,Female,90,2023,38,16,2,427.34,414,156.40001,256.53839,63.319839,8,47.5,Other,Yes,1,Full-time (1750+ hours),0
359,359,Male,90,2021,64,16,3,216.50999,183.75,141.75,629.99988,85.391563,12,31.923077,Other,Unknown,1,Part-time (50-1749 hours),0,359,Female,90,2021,65,16,3,216.50999,183.75,42,629.99988,29.166666,24,27.692308,Other,Unknown,0,Part-time (50-1749 hours),0
361,361,Male,91,2021,35,16,3,141.7773,141.22499,122.84999,10.621291,56.874996,12,41.53846,White,Yes,1,Full-time (1750+ hours),0,361,Female,91,2021,33,16,3,141.7773,141.22499,18.375,10.621291,22.968748,12,15.384615,White,Yes,1,Part-time (50-1749 hours),0
362,362,Male,91,2017,44,15,4,115.373,74.580002,0,784.48077,0,10,39.23077,White,No,1,Full-time (1750+ hours),0,362,Female,91,2017,44,16,4,115.373,74.580002,74.580002,784.48077,39.335442,10,36.46154,White,Yes,1,Full-time (1750+ hours),0
367,367,Male,92,2021,41,17,7,132.29999,132.3,112.35,-.00029343826,54.222969,3,39.846153,White,Yes,1,Full-time (1750+ hours),0,367,Female,92,2021,37,17,7,132.29999,132.3,19.949999,-.00029343826,17.701862,10,21.673077,White,Yes,1,Part-time (50-1749 hours),0
376,376,Male,94,2019,40,12,6,72.792,57.240005,28.080002,299.07681,14.511628,10,37.21154,White,Unknown,0,Full-time (1750+ hours),0,376,Female,94,2019,39,12,6,72.792,57.240005,29.160002,299.07681,16.200001,10,34.615383,White,Unknown,1,Full-time (1750+ hours),0
391,391,Male,98,2021,69,12,2,41.054996,16.799999,10.5,466.44226,16.25387,4,12.423077,Black,No,0,Part-time (50-1749 hours),0,391,Female,98,2021,65,14,2,41.054996,16.799999,6.2999997,466.44226,8.203125,15,14.769231,Black,Yes,1,Part-time (50-1749 hours),0
394,394,Male,99,2021,45,14,5,95.549995,95.549995,52.499996,0,23.521503,10,42.923077,White,No,1,Full-time (1750+ hours),0,394,Female,99,2021,32,16,5,95.549995,95.549995,43.049999,0,18.906454,14,43.78846,White,Yes,1,Full-time (1750+ hours),0
402,402,Male,101,2017,49,17,2,160.86681,155.14899,79.099998,109.95806,38.028847,5,40,Other,Yes,1,Full-time (1750+ hours),0,402,Female,101,2017,48,17,2,160.86681,155.14899,76.048996,109.95806,34.489342,6,42.403847,White,Yes,1,Full-time (1750+ hours),0
403,403,Male,101,2021,49,14,2,60.899998,60.899994,26.249998,.000073359566,17.784552,7,28.384615,White,Yes,1,Part-time (50-1749 hours),0,403,Female,101,2021,47,15,2,60.899998,60.899994,34.649998,.000073359566,16.658653,15,40,Other,No,1,Full-time (1750+ hours),0
411,411,Male,103,2021,67,15,2,114.46049,114.45,100.8,.20188552,40.384613,20,48,White,No,0,Full-time (1750+ hours),0,411,Female,103,2021,57,12,2,114.46049,114.45,13.65,.20188552,56.874996,21,4.6153846,Other,Unknown,0,Part-time (50-1749 hours),0
418,418,Male,105,2019,34,17,2,116.64001,116.64001,70.200005,0,28.080002,2,48.076923,White,Yes,1,Full-time (1750+ hours),0,418,Female,105,2019,32,14,2,116.64001,116.64001,46.440002,0,23.220001,8,38.46154,White,No,1,Full-time (1750+ hours),0
423,423,Male,106,2017,29,12,4,37.855,37.855,34.465,0,17.512703,2,37.846153,White,No,1,Full-time (1750+ hours),0,423,Female,106,2017,28,12,4,37.855,37.855,3.3899999,0,8.1490383,25,8,White,Unknown,1,Part-time (50-1749 hours),0
426,426,Male,107,2019,48,16,2,198.11305,163.08002,97.200005,673.71222,47.64706,1,39.23077,White,Yes,1,Full-time (1750+ hours),0,426,Female,107,2019,43,12,2,198.11305,163.08002,65.880005,673.71222,32.294121,8,39.23077,White,Unknown,1,Full-time (1750+ hours),0
440,440,Male,110,2017,49,12,2,135.2836,119.4636,79.099998,304.23077,22.156862,5,68.653847,Black,Unknown,1,Full-time (1750+ hours),0,440,Female,110,2017,56,12,2,135.2836,119.4636,40.363602,304.23077,8.8691711,10,87.519234,Black,No,1,Full-time (1750+ hours),0
445,445,Male,112,2021,51,15,3,102.00749,99.75,44.099998,43.413307,20.920303,3,40.53846,White,No,1,Full-time (1750+ hours),0,445,Female,112,2021,49,16,3,102.00749,99.75,55.649998,43.413307,27.604166,7,38.76923,White,Yes,1,Full-time (1750+ hours),0
447,447,Male,112,2023,47,16,2,97.704002,97.704002,69,0,33.173077,5,40,Black,Yes,1,Full-time (1750+ hours),0,447,Female,112,2023,45,17,2,97.704002,97.704002,28.704,0,27.6,10,20,Black,Yes,1,Part-time (50-1749 hours),0
458,458,Male,115,2023,44,16,4,97.943199,97.759201,42.228001,3.5384252,23,4,35.307693,Black,Yes,0,Full-time (1750+ hours),0,458,Female,115,2023,42,17,4,97.943199,97.759201,55.5312,3.5384252,30.61257,6,34.884617,Black,Yes,1,Full-time (1750+ hours),0
468,468,Male,117,2023,69,13,2,61.695202,21.619999,11.04,770.677,7.0769234,2,30,White,No,1,Part-time (50-1749 hours),0,468,Female,117,2023,67,12,2,61.695202,21.619999,10.58,770.677,8.1384621,3,25,White,No,1,Part-time (50-1749 hours),0
475,475,Male,119,2023,33,16,2,54.973682,54.973682,27.833681,0,14.948271,4,35.807693,White,Yes,1,Full-time (1750+ hours),0,475,Female,119,2023,31,16,2,54.973682,54.973682,27.140001,0,14.575726,6,35.807693,White,Yes,1,Full-time (1750+ hours),0
477,477,Male,120,2021,31,12,2,29.200499,23.099998,16.799999,117.31731,27.999998,10,11.538462,White,Unknown,1,Part-time (50-1749 hours),0,477,Female,120,2021,37,17,2,29.200499,23.099998,6.2999997,117.31731,13.124999,5,9.2307692,Other,Yes,1,Part-time (50-1749 hours),0
487,487,Male,122,2023,32,16,2,145.36,131.56,60.720001,265.38467,31.625,4,36.923077,White,Yes,1,Full-time (1750+ hours),0,487,Female,122,2023,27,17,2,145.36,131.56,70.840004,265.38467,35.138889,14,38.76923,White,Yes,1,Full-time (1750+ hours),0
491,491,Male,123,2023,44,16,5,133.515,131.56,38.639999,37.596188,30.32967,4,24.5,Black,Yes,1,Part-time (50-1749 hours),0,491,Female,123,2023,37,17,5,133.515,131.56,92.919998,37.596188,47.578087,14,37.557693,Black,Yes,1,Full-time (1750+ hours),0
494,494,Male,124,2023,36,16,4,146.6342,146.4502,99.360001,3.5385718,41.400002,1,46.153847,White,Yes,1,Full-time (1750+ hours),0,494,Female,124,2023,36,16,4,146.6342,146.4502,47.090202,3.5385718,22.639519,10,40,White,Yes,1,Full-time (1750+ hours),0
495,495,Male,124,2021,35,16,2,143.37329,141.75,129.14999,31.217134,56.274506,5,44.134617,White,Yes,1,Full-time (1750+ hours),0,495,Female,124,2021,30,14,2,143.37329,141.75,12.599999,31.217134,13.124999,3,18.461538,White,No,1,Part-time (50-1749 hours),0
498,498,Male,125,2019,61,17,2,219.21301,192.16765,99.173164,520.10315,47.863495,7,39.846153,White,Yes,1,Full-time (1750+ hours),0,498,Female,125,2019,58,17,2,219.21301,192.16765,92.994484,520.10315,26.607864,14,67.21154,White,Yes,1,Full-time (1750+ hours),0
503,503,Male,126,2023,46,14,2,165.60001,165.60001,47.84,0,30.666668,10,30,White,Unknown,1,Part-time (50-1749 hours),0,503,Female,126,2023,38,17,2,165.60001,165.60001,117.76,0,41.174828,12,55,White,Yes,1,Full-time (1750+ hours),0
505,505,Male,127,2019,51,12,2,157.464,155.304,112.104,41.538532,54.63158,10,39.46154,White,No,1,Full-time (1750+ hours),0,505,Female,127,2019,53,16,2,157.464,155.304,43.200001,41.538532,22.617802,8,36.73077,White,Yes,1,Full-time (1750+ hours),0
506,506,Male,127,2021,32,16,2,212.09999,212.10001,157.5,-.00029343826,78.75,5,38.46154,White,Yes,1,Full-time (1750+ hours),0,506,Female,127,2021,33,16,2,212.09999,212.10001,54.599998,-.00029343826,17.07317,15,61.5,White,Yes,1,Full-time (1750+ hours),0
510,510,Male,128,2021,49,14,3,41.474998,39.900002,21,30.288403,10.154738,10,39.76923,White,Yes,1,Full-time (1750+ hours),0,510,Female,128,2021,51,16,3,41.474998,39.900002,18.9,30.288403,9.8232841,15,37,White,No,1,Full-time (1750+ hours),0
513,513,Male,129,2017,26,12,3,67.913002,67.799995,64.409996,2.1732037,31.115942,2,39.807693,White,No,1,Full-time (1750+ hours),0,513,Female,129,2017,24,12,3,67.913002,67.799995,3.3899999,2.1732037,6.0320287,12,10.807693,White,Unknown,0,Part-time (50-1749 hours),0
521,521,Male,131,2017,69,15,2,49.089458,27.393459,5.8759999,417.23074,14.125,10,8,White,Yes,1,Part-time (50-1749 hours),0,521,Female,131,2017,57,14,2,49.089458,27.393459,21.51746,417.23074,10.610188,20,39,White,No,1,Full-time (1750+ hours),0
523,523,Male,131,2023,49,16,3,285.384,285.20001,147.2,3.5382783,52.703186,3,53.71154,White,Yes,1,Full-time (1750+ hours),0,523,Female,131,2023,45,17,3,285.384,285.20001,138,3.5382783,60.10453,12,44.153847,White,Yes,1,Full-time (1750+ hours),0
525,525,Male,132,2019,62,12,3,228.96001,228.96002,168.48001,-.00029343826,84.240005,20,38.46154,White,No,1,Full-time (1750+ hours),0,525,Female,132,2019,61,12,3,228.96001,228.96002,60.480003,-.00029343826,29.64706,20,39.23077,White,No,1,Full-time (1750+ hours),0
527,527,Male,132,2021,51,16,3,120.18195,120.02444,45.841949,3.0288696,22.188745,8,39.73077,Other,Unknown,1,Full-time (1750+ hours),0,527,Female,132,2021,48,16,3,120.18195,120.02444,74.182495,3.0288696,50.327339,24,28.346153,Other,Unknown,1,Part-time (50-1749 hours),0
533,533,Male,134,2023,67,16,2,316.84799,283.35999,53.360001,644.00012,26.547264,15,38.653847,White,Yes,1,Full-time (1750+ hours),0,533,Female,134,2023,61,17,2,316.84799,283.35999,230,644.00012,95.833336,15,46.153847,White,Yes,1,Full-time (1750+ hours),0
551,551,Male,138,2017,27,16,2,138.99001,135.60001,96.050003,65.192299,32.670067,8,56.53846,White,Yes,1,Full-time (1750+ hours),0,551,Female,138,2017,28,16,2,138.99001,135.60001,39.549999,65.192299,47.083332,10,16.153847,White,Yes,1,Part-time (50-1749 hours),0
558,558,Male,140,2019,39,16,4,124.41601,124.2,113.4,4.1539121,49.736843,14,43.846153,White,Yes,1,Full-time (1750+ hours),0,558,Female,140,2019,36,12,4,124.41601,124.2,10.8,4.1539121,18,14,11.538462,White,No,1,Part-time (50-1749 hours),0
559,559,Male,140,2017,38,13,3,196.62,192.10001,113,86.922867,56.5,3,38.46154,Other,No,1,Full-time (1750+ hours),0,559,Female,140,2017,36,16,3,196.62,192.10001,79.099998,86.922867,39.86895,10,38.153847,Other,Yes,1,Full-time (1750+ hours),0
560,560,Male,140,2023,38,16,3,75.152962,75.152962,46,0,23,1,38.46154,Other,Unknown,1,Full-time (1750+ hours),0,560,Female,140,2023,39,17,3,75.152962,75.152962,29.15296,0,37.811882,3,14.826923,Other,Unknown,1,Part-time (50-1749 hours),0
567,567,Male,142,2017,38,15,3,48.59,48.589996,10.17,.000073359566,9.7788458,15,20,White,No,1,Part-time (50-1749 hours),0,567,Female,142,2017,37,17,3,48.59,48.589996,38.419998,.000073359566,24.2092,15,30.51923,White,Yes,1,Part-time (50-1749 hours),0
569,569,Male,143,2021,38,12,4,72.659996,72.449997,38.849998,4.038444,13.583916,10,55,Black,Unknown,1,Full-time (1750+ hours),0,569,Female,143,2021,32,16,4,72.659996,72.449997,33.599998,4.038444,16.153845,10,40,White,Yes,1,Full-time (1750+ hours),0
576,576,Male,144,2019,24,11,3,32.400002,10.8,5.4000001,415.38464,2.9670331,11,35,Black,No,1,Full-time (1750+ hours),0,576,Female,144,2019,22,11,3,32.400002,10.8,5.4000001,415.38464,15.000001,6,6.9230771,Black,No,1,Part-time (50-1749 hours),0
580,580,Male,145,2021,37,12,4,120.855,120.74999,94.499992,2.0192952,46.323528,5,39.23077,White,No,1,Full-time (1750+ hours),0,580,Female,145,2021,35,17,4,120.855,120.74999,26.249998,2.0192952,50.872089,20,9.9230766,White,Yes,1,Part-time (50-1749 hours),0
581,581,Male,146,2021,40,16,3,119.61075,99.75,73.5,381.93747,36.011757,20,39.25,White,Yes,1,Full-time (1750+ hours),0,581,Female,146,2021,43,12,3,119.61075,99.75,26.249998,381.93747,156.25,30,3.2307692,White,No,1,Part-time (50-1749 hours),0
592,592,Male,148,2023,28,14,3,130.82401,130.64,82.800003,3.5385718,27.272728,5,58.384617,White,Yes,1,Full-time (1750+ hours),0,592,Female,148,2023,29,17,3,130.82401,130.64,47.84,3.5385718,18.542637,10,49.615383,White,No,1,Full-time (1750+ hours),0
594,594,Male,149,2021,52,12,2,109.2,109.2,50.399998,0,25.714285,5,37.692307,Black,No,1,Full-time (1750+ hours),0,594,Female,149,2021,57,15,2,109.2,109.2,58.799995,0,20.851063,15,54.23077,Black,No,1,Full-time (1750+ hours),0
